Date,Open,High,Low,Close,Volume,Adj Close
2013-03-01,2627.25,2655.63,2607.88,2635.59,157930000,2635.59
2013-02-28,2617.12,2652.48,2603.60,2627.25,184410000,2627.25
2013-02-27,2602.48,2637.84,2592.12,2617.12,152590000,2617.12
2013-02-26,2564.19,2606.30,2560.13,2602.48,148910000,2602.48
2013-02-23,2574.77,2591.44,2540.99,2564.19,148490000,2564.19
2013-02-22,2583.56,2622.30,2568.02,2574.77,184320000,2574.77
2013-02-21,2596.85,2602.48,2556.31,2583.56,159240000,2583.56
2013-02-20,2619.14,2619.14,2579.05,2596.85,147300000,2596.85
2013-02-16,2649.55,2669.37,2623.65,2635.59,166840000,2635.59
2013-02-15,2624.32,2658.78,2614.86,2649.55,174630000,2649.55
2013-02-14,2624.10,2643.69,2608.11,2624.32,138530000,2624.32
2013-02-13,2619.14,2639.19,2592.57,2624.10,144490000,2624.10
2013-02-12,2648.20,2652.48,2610.59,2619.14,118390000,2619.14
2013-02-09,2644.37,2666.67,2628.15,2648.20,146910000,2648.20
2013-02-08,2640.09,2674.32,2622.30,2644.37,176240000,2644.37
2013-02-07,2606.31,2651.35,2579.28,2640.09,186710000,2640.09
2013-02-06,2622.52,2629.50,2588.29,2606.31,134070000,2606.31
2013-02-05,2602.70,2633.56,2592.12,2622.52,130950000,2622.52
2013-02-02,2586.26,2623.65,2577.03,2602.70,164400000,2602.70
2013-02-01,2590.54,2611.49,2571.85,2586.26,154580000,2586.26
2013-01-31,2546.85,2600.90,2546.85,2590.54,189660000,2590.54
2013-01-30,2553.38,2576.13,2513.06,2543.24,186030000,2543.24
2013-01-29,2559.23,2583.56,2522.97,2553.38,150770000,2553.38
2013-01-26,2561.04,2591.67,2516.89,2559.23,198190000,2559.23
2013-01-25,2604.50,2628.83,2546.17,2561.04,172270000,2561.04
2013-01-24,2615.32,2619.59,2534.23,2604.50,207830000,2604.50
2013-01-23,2600.45,2639.64,2584.01,2615.32,179300000,2615.32
2013-01-22,2677.90,2683.33,2595.27,2600.45,148380000,2600.45
2013-01-19,2666.38,2696.89,2657.85,2677.90,185590000,2677.90
2013-01-18,2659.13,2678.11,2625.85,2666.38,178590000,2666.38
2013-01-17,2692.62,2711.39,2643.77,2659.13,170470000,2659.13
2013-01-16,2669.37,2698.38,2634.17,2692.62,186070000,2692.62
2013-01-15,2689.21,2698.11,2656.36,2669.37,140590000,2669.37
2013-01-12,2735.92,2735.92,2675.98,2689.21,183880000,2689.21
2013-01-11,2750.64,2783.27,2748.29,2760.67,154390000,2760.67
2013-01-10,2766.00,2772.82,2725.47,2750.64,175990000,2750.64
2013-01-09,2794.37,2810.79,2760.03,2766.00,155210000,2766.00
2013-01-08,2773.25,2803.97,2753.41,2794.37,140110000,2794.37
2013-01-05,2796.08,2810.15,2758.11,2773.25,158530000,2773.25
2013-01-04,2809.73,2821.46,2766.42,2796.08,177000000,2796.08
2013-01-03,2810.15,2834.04,2786.26,2809.73,192330000,2809.73
2013-01-02,2753.20,2811.65,2732.51,2810.15,162070000,2810.15
